concept_id,entity,attribute,display_name,description,data_type,aliases
journal_entry.amount,journal_entry,amount,Journal Entry Amount,Monetary amount posted on a journal entry line.,decimal,"journal amount, accounting amount, posted amount, dmbtr"
journal_entry.debit_credit_indicator,journal_entry,debit_credit_indicator,Debit/Credit Indicator,Indicator showing whether a journal line is a debit or credit.,string,"debit credit indicator, dr cr indicator, posting side, shkzg"
journal_entry.id,journal_entry,id,Journal Entry ID,Identifier for an accounting journal entry.,string,"journal entry id, journal number, accounting document number, belnr"
journal_entry.line_item_number,journal_entry,line_item_number,Journal Entry Line Item Number,Line item number within an accounting journal entry.,integer,"journal line item, accounting document line item, buzei"
journal_entry.reference,journal_entry,reference,Journal Entry Reference,Reference text or number associated with a journal entry.,string,"journal reference, accounting reference, xblnr, reference document number"
lead.created_date,lead,created_date,Lead Created Date,Date when the lead record was created.,date,"lead created date, lead creation date, prospect created date"
lead.id,lead,id,Lead ID,Identifier for a potential customer contact,string,"lead id, prospect id, sales lead id"
lead.source,lead,source,Lead Source,Origin channel or source from which the lead was captured.,string,"lead source, source campaign, lead origin, acquisition source"
lead.status,lead,status,Lead Status,Current qualification or lifecycle status of the lead.,string,"lead status, lead lifecycle status, qualification status"
ledger.id,ledger,id,Ledger ID,Identifier for a specific accounting ledger,string,"ledger id, accounting ledger, ledger code, rldnr"
legal_entity.id,legal_entity,id,Legal Entity ID,Identifier for a legally registered entity used for statutory reporting or contracting.,string,"legal entity id, legal company id, statutory entity id"
legal_entity.name,legal_entity,name,Legal Entity Name,Registered legal name of an entity.,string,"legal entity name, registered company name, statutory name"
load.id,load,id,Load ID,Identifier for a transportation load or consolidated shipment movement.,string,"load id, shipment load id, transportation load number"
load.status,load,status,Load Status,Lifecycle status of a transportation load.,string,"load status, transportation load status, freight load status"
load.weight,load,weight,Load Weight,Total weight assigned to a transportation load.,decimal,"load weight, shipment load weight, gross load weight"
location.id,location,id,Location ID,Unique identifier for a physical work location. Not equivalent to plant or warehouse unless context confirms.,string,"location id, work location id, location code, LO_LOCATION_NK"
location.name,location,name,Location Name,Human-readable name of the physical work location.,string,"location name, work location name, LO_NAME"
maintenance_order.id,maintenance_order,id,Maintenance Order ID,Identifier for a repair or maintenance task,string,"maintenance order id, maintenance order number, repair order id"
make_or_buy.indicator,make_or_buy,indicator,Make-or-Buy Indicator,Indicator showing whether an item is manufactured internally or procured externally.,string,"make or buy, make-buy indicator, procurement type, beskz"
manufacturing_order.id,manufacturing_order,id,Manufacturing Order ID,Identifier for a manufacturing or production execution order.,string,"manufacturing order id, production order id, shop order number"
manufacturing_order.quantity,manufacturing_order,quantity,Manufacturing Order Quantity,Planned or released quantity to produce on a manufacturing order.,decimal,"manufacturing order quantity, production order quantity, order qty, gamng"
manufacturing_order.status,manufacturing_order,status,Manufacturing Order Status,Lifecycle status of a manufacturing order.,string,"manufacturing order status, production order status, shop order status"
material.base_price,material,base_price,Material Base Price,"Base or piece price for a material or item used in purchasing, valuation, or sourcing contexts.",decimal,"base price, piece price, material base price, purchasing net price, EKPO-NETPR, EINE-NETPR, MBEW-VERPR, MBEW-STPRS"
material.base_uom_code,material,base_uom_code,Material Base Unit of Measure,Base unit of measure used to manage material quantities.,string,"unit of measure, base uom, base unit, material uom, MARA-MEINS, MEINS"
material.category_level_1_code,material,category_level_1_code,Material Category Level 1 Code,"Top-level category code in a material, product, or item classification hierarchy.",string,"category code l1, category level 1, product category level 1, item category l1"
material.category_level_2_code,material,category_level_2_code,Material Category Level 2 Code,"Second-level category code in a material, product, or item classification hierarchy.",string,"category code l2, category level 2, product category level 2, item category l2"
material.category_level_3_code,material,category_level_3_code,Material Category Level 3 Code,"Third-level category code in a material, product, or item classification hierarchy.",string,"category code l3, category level 3, product category level 3, item category l3"
material.country_of_origin_code,material,country_of_origin_code,Material Country of Origin Code,"Country code identifying where a material was produced, manufactured, or originated.",string,"country of origin, origin country code, COO, MARC-HERKL, HERKL"
material.customer_part_number,material,customer_part_number,Customer Part Number,Customer-assigned part number for a material or item on sales documents.,string,"customer part number, customer material number, customer item number, VBAP-KDMAT, KDMAT"
material.dimension_description,material,dimension_description,Material Dimension Description,"Dimensional attributes or free-text dimensional description for a material, such as length, width, height, thickness, or size.",string,"dimensions, drawing dimensions, material dimensions, size description"
material.drawing_number,material,drawing_number,Material Drawing Number,Engineering drawing or technical drawing identifier associated with a material.,string,"drawing number, engineering drawing, drawing id, technical drawing number"
material.drawing_revision,material,drawing_revision,Material Drawing Revision,"Revision, version, or change level of the engineering drawing associated with a material.",string,"drawing revision, drawing version, engineering revision, revision level"
material.engineering_part_number,material,engineering_part_number,Engineering Part Number,Part number originating from engineering or design release processes.,string,"engineering part number, magna part number, release part number, engineering material number, MARA-MATNR, MATNR"
material.erp_material_number,material,erp_material_number,ERP Material Number,Business material or item number assigned in the ERP material master.,string,"erp material number, material master number, sap material number, matnr"
material.gross_weight,material,gross_weight,Material Gross Weight,Gross weight or mass of a material or item.,decimal,"weight, mass, gross weight, material weight, MARA-BRGEW, BRGEW"
material.hts_code,material,hts_code,Material HTS Code,Harmonized Tariff Schedule or customs classification code assigned to a material.,string,"hts code, harmonized tariff code, customs tariff code, commodity code, /SAPSLL/MARITC-CCNGN, CCNGN"
material.id,material,id,Material ID,Internal canonical identifier for a material or item record. Not necessarily the ERP material number or SKU.,string,"material id, material identifier, item id"
material.manufacturer_part_number,material,manufacturer_part_number,Manufacturer Part Number,Part number assigned by the manufacturer for a material or item.,string,"manufacturer pn, manufacturer part number, mfrpn, MPN, EKPO-MFRPN, MFRPN"
material.name,material,name,Material Name,Display name of a material or product,string,"material name, product name, item name, article name"
material.number,material,number,Material Number,ERP or business material/item number assigned in the material master.,string,"material number, item number, article number, part number"
material.origin,material,origin,Origin Country,Country where material was extracted or produced,string,"material origin, country of origin, coo, herkunft"
material.procurement_type,material,procurement_type,Material Procurement Type,"Indicator showing whether a material is produced internally, procured externally, or both.",string,"procurement type, controllable indicator, directed indicator, make or buy indicator, MARC-BESKZ, BESKZ"
material.raw_material_group_id,material,raw_material_group_id,Raw Material Group ID,Material group or raw material classification assigned to a material.,string,"raw material group, material group, commodity group, MARA-MATKL, MATKL"
material.sku,material,sku,Material SKU,Commercial or channel-specific stock keeping unit for a material or product; not necessarily the ERP material number.,string,"material sku, product sku, item sku, stock keeping unit"
material.weight_unit_code,material,weight_unit_code,Material Weight Unit Code,Unit of measure used for a material weight or mass value.,string,"weight unit, mass unit, gross weight unit, MARA-GEWEI, GEWEI"
material_document.id,material_document,id,Material Document Number,Identifier for a goods movement or inventory posting document.,string,"material document number, material document id, goods movement document"
material_group.id,material_group,id,Material Group,Classification for products or materials,string,"material group, product category, mat group, matkl"
mrp_exception.code,mrp_exception,code,MRP Exception Code,"Code identifying a planning exception such as shortage, reschedule, expedite, or cancel.",string,"mrp exception code, planning exception code, exception message"
mrp_exception.description,mrp_exception,description,MRP Exception Description,Description of a material requirements planning exception or action message.,string,"mrp exception description, planning exception text, action message"
mrp_run.id,mrp_run,id,MRP Run ID,Identifier for a material requirements planning run or planning batch.,string,"mrp run id, planning run id, mrp batch id"
mrp_run.run_date,mrp_run,run_date,MRP Run Date,Date on which material requirements planning was executed.,date,"mrp run date, planning run date, materials planning date"
mrp_run.status,mrp_run,status,MRP Run Status,Processing status of a material requirements planning run.,string,"mrp run status, planning run status, mrp processing status"
operating_unit.id,operating_unit,id,Operating Unit ID,Identifier for an operating unit used in enterprise applications.,string,"operating unit id, org id, operations unit id"
opportunity.amount,opportunity,amount,Opportunity Amount,Expected monetary value of the sales opportunity.,decimal,"opportunity amount, deal amount, pipeline amount, expected revenue"
opportunity.close_date,opportunity,close_date,Opportunity Close Date,Expected or actual date when the opportunity is closed.,date,"opportunity close date, expected close date, deal close date"
opportunity.id,opportunity,id,Opportunity ID,CRM identifier for a potential sales deal,string,"opportunity id, opportunity number, opp id, deal id"
opportunity.owner_employee_id,opportunity,owner_employee_id,Opportunity Owner Employee ID,Employee or salesperson responsible for the opportunity.,string,"opportunity owner, sales rep id, deal owner id"
opportunity.probability,opportunity,probability,Opportunity Probability,Probability percentage assigned to closing the opportunity.,decimal,"opportunity probability, close probability, win probability"
opportunity.stage,opportunity,stage,Opportunity Stage,Current selling stage of an opportunity.,string,"opportunity stage, sales stage, deal stage, pipeline stage"
order_allocation.id,order_allocation,id,Order Allocation ID,Identifier for allocation of supply or inventory to customer demand.,string,"order allocation id, allocation id, supply allocation id"
order_allocation.quantity,order_allocation,quantity,Order Allocation Quantity,Quantity allocated from inventory or supply to an order or demand line.,decimal,"allocated quantity, order allocation quantity, supply allocation quantity"
org_unit.id,org_unit,id,Org Unit ID,"Identifier for an organizational unit. Use department, company code, sales organization, purchasing organization, plant, or cost center concepts when those specific meanings are known.",string,"org unit id, organization unit id, org structure unit, orgeh"
packing.date,packing,date,Packing Date,Date when goods were packed for shipment or fulfillment.,date,"packing date, packed date, packaging date"
packing.status,packing,status,Packing Status,"Current packing state for an order, delivery, shipment, or handling unit.",string,"packing status, pack status, packaging status"
payment.amount,payment,amount,Payment Amount,Monetary amount paid or received in a payment transaction.,decimal,"payment amount, paid amount, remittance amount"
payment.date,payment,date,Payment Date,"Date on which a payment was made, received, or cleared.",date,"payment date, paid date, clearing date, remittance date"
payment.method_code,payment,method_code,Payment Method,Code indicating how payment is made.,string,"payment method, payment method code, payment type code"
payment.reference,payment,reference,Payment Reference,Reference or remittance identifier for a payment.,string,"payment reference, remittance reference, payment ref"
payment.status,payment,status,Payment Status,Current processing or clearing status of a payment.,string,"payment status, clearing status, payment lifecycle status"
payment_term.id,payment_term,id,Payment Terms,"Terms for payment (e.g., Net 30)",string,"payment terms, payment term, pay terms, zterm, payment conditions"
payroll.component,payroll,component,Pay Component,"Identifier for salary types (base, bonus, etc.)",string,"pay component, wage type, pay element, lgart"
payroll.gross_pay,payroll,gross_pay,Gross Pay,Total earnings before deductions and taxes.,decimal,"gross pay, gross earnings, total earnings"
payroll.net_pay,payroll,net_pay,Net Pay,Take-home pay after deductions and taxes.,decimal,"net pay, take home pay, net earnings"
payroll.period_end_date,payroll,period_end_date,Payroll Period End Date,End date of a payroll processing period.,date,"payroll period end date, pay period end date"
payroll.period_start_date,payroll,period_start_date,Payroll Period Start Date,Start date of a payroll processing period.,date,"payroll period start date, pay period start date"
payroll.tax_amount,payroll,tax_amount,Payroll Tax Amount,Tax amount withheld or calculated in payroll.,decimal,"payroll tax amount, tax withholding, pay tax amount"
performance_review.id,performance_review,id,Performance Review ID,Identifier for an employee performance review.,string,"performance review id, appraisal id, review form id"
performance_review.rating,performance_review,rating,Performance Rating,Rating assigned during a performance review.,string,"performance rating, appraisal rating, review rating"
picking.date,picking,date,Picking Date,Date when goods were picked from inventory for fulfillment.,date,"picking date, picked date, warehouse pick date"
picking.quantity,picking,quantity,Picked Quantity,"Quantity picked from inventory for an order, delivery, or shipment.",decimal,"picked quantity, picking quantity, pick qty"
picking.status,picking,status,Picking Status,"Current picking state for an order, delivery, shipment, or warehouse task.",string,"picking status, pick status, warehouse picking status"
planned_order.end_date,planned_order,end_date,Planned Order End Date,Planned completion or finish date for a planned order.,date,"planned order finish date, planned end date, planned completion date"
planned_order.id,planned_order,id,Planned Order ID,Identifier for a planned supply order generated by planning.,string,"planned order id, planned order number, planning order id, plnum"
planned_order.quantity,planned_order,quantity,Planned Order Quantity,"Quantity proposed by planning for procurement, production, or transfer.",decimal,"planned order quantity, planned qty, planning proposal quantity"
planned_order.start_date,planned_order,start_date,Planned Order Start Date,Planned start date for a planned order.,date,"planned order start date, planned start date, order release date"
planned_order.status,planned_order,status,Planned Order Status,Lifecycle status of a planned order or planning proposal.,string,"planned order status, planning proposal status, mrp proposal status"
plant.id,plant,id,Plant,"Manufacturing, procurement, or logistics plant used for material, inventory, and operational planning.",string,"plant id, plant code, manufacturing plant, logistics plant, werks"
position.end_date,position,end_date,Position End Date,Date the organizational position was closed or ended,date,"position end date, position close date, PO_END_DATE"
position.id,position,id,Position ID,Unique identifier for the organizational position,string,"position id, position reference id, PO_POSITION_NK, position number"
position.start_date,position,start_date,Position Start Date,Date the organizational position became available,date,"position start date, position availability date, PO_START_DATE"
position.title,position,title,Position Title,Business title assigned to the organizational position,string,"business title, PO_BUSINESS_TITLE"
price.list,price,list,Price List,Identifier for a specific pricing tier or list,string,"price list, pricing tier, pricing list, pltyp"
price.unit,price,unit,Unit Price,Price per single unit of measure,decimal,"unit price, price per unit, net price, kbetr"
product.category,product,category,Product Category,Classification or category assigned to a product.,string,"product category, product group, item category, product hierarchy"
product.id,product,id,Product ID,Identifier for a sellable product or service offering.,string,"product id, product number, item id, sku id"
product.lifecycle_status,product,lifecycle_status,Product Lifecycle Status,"Current lifecycle state of a product such as active, discontinued, or obsolete.",string,"product lifecycle status, product status, material status, item status"
product.name,product,name,Product Name,Display name of a sellable product or service offering.,string,"product name, item name, offering name"
production_operation.number,production_operation,number,Production Operation Number,"Sequence or operation number within a routing, work order, or manufacturing order.",integer,"operation number, production operation number, routing operation, vornr"
production_operation.status,production_operation,status,Production Operation Status,Execution status of a production operation.,string,"operation status, production operation status, shop floor operation status"
production_operation.work_center_id,production_operation,work_center_id,Production Operation Work Center ID,Work center assigned to a production operation.,string,"operation work center, work center id, production work center"
production_order.actual_finish_date,production_order,actual_finish_date,Production Order Actual Finish Date,Actual completion date of a production order.,date,"production actual finish date, actual completion date, confirmed finish date"
production_order.actual_start_date,production_order,actual_start_date,Production Order Actual Start Date,Actual start date of a production order.,date,"production actual start date, actual start date, confirmed start date"
production_order.id,production_order,id,Production Order ID,Identifier for a production order used to manufacture goods.,string,"production order id, production order number, manufacturing order number, aufnr"
production_order.planned_finish_date,production_order,planned_finish_date,Production Order Planned Finish Date,Planned completion date of a production order.,date,"planned finish date, scheduled finish date, production finish date"
production_order.planned_start_date,production_order,planned_start_date,Production Order Planned Start Date,Planned start date of a production order.,date,"planned start date, scheduled start date, production start date"
production_order.quantity,production_order,quantity,Production Order Quantity,Quantity planned or released for production.,decimal,"production order quantity, manufacturing quantity, order quantity, gamng"
production_order.status,production_order,status,Production Order Status,Lifecycle or execution status of a production order.,string,"production order status, manufacturing order status, shop order status"
profit_center.id,profit_center,id,Profit Center,Identifier for a profit-generating unit,string,"profit center, profit centre, profit center id, prctr"
project.id,project,id,Project ID,Identifier for a specific business project,string,"project id, project code, project element, psp element, posid"
project.manager,project,manager,Project Manager,Person responsible for the project,string,"project manager, project lead, project owner"
purchase_contract.id,purchase_contract,id,Purchase Contract ID,Identifier for a procurement contract or purchasing agreement.,string,"purchase contract id, purchasing contract number, agreement number, outline agreement"
purchase_contract.valid_from_date,purchase_contract,valid_from_date,Purchase Contract Valid From Date,Start date of validity for a purchase contract.,date,"contract valid from, purchasing agreement start date, kdatb"
purchase_contract.valid_to_date,purchase_contract,valid_to_date,Purchase Contract Valid To Date,End date of validity for a purchase contract.,date,"contract valid to, purchasing agreement end date, kdate"
purchase_contract.value,purchase_contract,value,Purchase Contract Value,Target or committed monetary value of a purchase contract.,decimal,"contract value, agreement value, target value, ktwrt"
purchase_order.created_date,purchase_order,created_date,PO Created Date,Technical date when the purchase order record was created.,date,"po created date, purchase order created date, purchasing document created date"
purchase_order.document_date,purchase_order,document_date,PO Document Date,Business document date of the purchase order.,date,"po document date, purchase order document date, purchasing document date, bedat"
purchase_order.document_type,purchase_order,document_type,PO Document Type,Type or category of purchasing document.,string,"po document type, purchase order type, purchasing document type, bsart"
purchase_order.id,purchase_order,id,PO Number,Unique identifier for a purchase order,string,"po number, po no, purchase order number, purchase order id, purchasing document number, ebeln"
purchase_order.line_item_number,purchase_order,line_item_number,PO Line Item Number,Item number identifying a specific line within a purchase order.,integer,"po line item number, purchase order line item number, purchasing item number, ebelp"
purchase_order.status,purchase_order,status,PO Status,Current lifecycle stage of the PO,string,"po status, purchase order status, purchasing status"
purchasing_group.id,purchasing_group,id,Purchasing Group,Buyer group or purchasing team responsible for procurement activity.,string,"purchasing group, buyer group, purchasing group id, ekgrp"
purchasing_organization.id,purchasing_organization,id,Purchasing Organization,Organizational unit responsible for procurement negotiations and purchasing activities.,string,"purchasing organization, purchasing org, purchasing organization id, purchasing org id, ekorg"
quality_inspection.id,quality_inspection,id,Inspection Lot,Identifier for a quality inspection lot,string,"inspection lot, inspection id, qm lot, prueflos"
quality_inspection.status,quality_inspection,status,Inspection Status,Current lifecycle or processing status of a quality inspection lot. Usage decision should be mapped separately.,string,"inspection status, qm status, quality inspection status"
quality_inspection.usage_decision_code,quality_inspection,usage_decision_code,Usage Decision Code,Decision code or outcome assigned after quality inspection.,string,"usage decision code, inspection usage decision, qm usage decision"
quote.id,quote,id,Quote ID,Identifier for a sales quotation or commercial offer.,string,"quote id, quote number, quotation number, sales quote id"
quote.status,quote,status,Quote Status,Lifecycle status of a sales quote.,string,"quote status, quotation status, proposal status"
quote.total_amount,quote,total_amount,Quote Total Amount,Total monetary value of the quote.,decimal,"quote total, quotation amount, proposal amount, total quote value"
quote.valid_from_date,quote,valid_from_date,Quote Valid From Date,Start date from which the quote terms are valid.,date,"quote valid from, quotation start date, valid from date"
quote.valid_to_date,quote,valid_to_date,Quote Valid To Date,Expiration date through which the quote terms are valid.,date,"quote valid to, quote expiration date, valid until date"
replenishment_order.id,replenishment_order,id,Replenishment Order ID,Identifier for an order created to replenish inventory.,string,"replenishment order id, replenishment order number, restock order id"
replenishment_order.quantity,replenishment_order,quantity,Replenishment Order Quantity,Quantity ordered or planned to replenish inventory.,decimal,"replenishment quantity, restock quantity, replenishment order quantity"
replenishment_order.status,replenishment_order,status,Replenishment Order Status,Lifecycle status of a replenishment order.,string,"replenishment order status, restock order status, replenishment status"
requisition.approval_status,requisition,approval_status,Requisition Approval Status,Approval state of a requisition.,string,"requisition approval status, pr approval status, release status"
requisition.id,requisition,id,Requisition ID,Identifier for a purchase requisition or internal request to buy.,string,"requisition id, purchase requisition number, pr number, banfn"
requisition.line_item_number,requisition,line_item_number,Requisition Line Item Number,Item number identifying a line in a requisition.,integer,"requisition line item, pr item, bnfpo"
requisition.requested_date,requisition,requested_date,Requisition Requested Date,Date on which goods or services were requested.,date,"requested date, requisition date, pr date"
requisition.requester_id,requisition,requester_id,Requisition Requester ID,Employee or user who requested the goods or services.,string,"requester id, requisitioner id, requested by, afnam"
resource.id,resource,id,Resource ID,"Identifier for a planning, production, labor, machine, or logistics resource.",string,"resource id, planning resource id, production resource id"
resource.type,resource,type,Resource Type,"Classification of resource such as labor, machine, vehicle, tool, or facility.",string,"resource type, capacity resource type, production resource type"
rfq.due_date,rfq,due_date,RFQ Due Date,Deadline for supplier responses to the RFQ.,date,"rfq due date, quotation deadline, response due date"
rfq.id,rfq,id,RFQ ID,Identifier for a request for quotation.,string,"rfq id, request for quotation number, quotation request id, anfnr"
rfq.status,rfq,status,RFQ Status,Lifecycle status of a request for quotation.,string,"rfq status, sourcing status, quotation request status"
route.id,route,id,Route,Identifier for a transportation route,string,"route id, transportation route, transit path, route code"
route_stop.location_id,route_stop,location_id,Route Stop Location ID,Location identifier for a stop within a transportation route.,string,"route stop location, stop location id, delivery stop location"
route_stop.sequence,route_stop,sequence,Route Stop Sequence,Sequence number of a stop within a transportation route.,integer,"route stop sequence, stop sequence, delivery stop number"
sales_order.created_date,sales_order,created_date,Sales Order Created Date,Technical date when the sales order record was created.,date,"sales order created date, sales document created date"
sales_order.document_date,sales_order,document_date,Sales Order Document Date,Business document date of the sales order.,date,"sales order document date, sales document date, audat"
sales_order.document_type,sales_order,document_type,Sales Order Type,Type or category of sales order document.,string,"sales order type, sales document type, auart"
sales_order.id,sales_order,id,Sales Order ID,Identifier for a sales order document.,string,"sales order id, sales order number, sales document number, so number, so no, sales order vbeln"
sales_order.line_item_number,sales_order,line_item_number,Sales Order Line Item Number,Item number identifying a specific line within a sales order.,integer,"sales order line item number, sales document item number, posnr"
sales_order.status,sales_order,status,Sales Order Status,Current state of the sales order,string,"sales order status, so status, fulfillment status"
sales_organization.id,sales_organization,id,Sales Organization,Organizational unit responsible for sales and distribution activities.,string,"sales organization, sales org, sales organization id, sales org id, vkorg"
sales_rep.id,sales_rep,id,Sales Representative ID,Identifier for a salesperson or sales representative.,string,"sales rep id, salesperson id, account executive id, sales employee id"
sales_rep.quota,sales_rep,quota,Sales Representative Quota,Sales target assigned to a sales representative.,decimal,"sales quota, sales target, rep quota, quota amount"
scrap.quantity,scrap,quantity,Scrap Quantity,Quantity of rejected or wasted material,decimal,"scrap quantity, scrap qty, waste quantity, rejects quantity, ausschuss"
segment.id,segment,id,Segment ID,"Identifier for a reporting, accounting, customer, or product segment.",string,"segment id, reporting segment, market segment, segment code"
service.id,service,id,Service ID,Identifier for a service item or service offering.,string,"service id, service item id, service code"
service.name,service,name,Service Name,Display name of a service offering.,string,"service name, service description, service item name"
shipment.actual_ship_date,shipment,actual_ship_date,Actual Ship Date,Actual date on which a shipment departed or was shipped.,date,"actual ship date, shipped date, shipment departure date"
shipment.carrier,shipment,carrier,Carrier Name,Name of the logistics provider,string,"carrier name, logistics provider, shipping company, forwarder"
shipment.freight_cost,shipment,freight_cost,Shipment Freight Cost,Freight or transportation cost associated with a shipment.,decimal,"freight cost, shipping cost, shipment cost, transportation cost"
shipment.id,shipment,id,Shipment ID,Identifier for a shipment or transportation movement.,string,"shipment id, shipment number, shipping document id"
shipment.planned_ship_date,shipment,planned_ship_date,Planned Ship Date,Planned date on which a shipment is expected to depart or ship.,date,"planned ship date, scheduled ship date, shipment planned date"
shipment.status,shipment,status,Shipment Status,Lifecycle status of a shipment.,string,"shipment status, shipping status, transportation status"
shipment.tracking_id,shipment,tracking_id,Tracking ID,Carrier tracking number for a shipment,string,"tracking number, tracking id, waybill, awb, airway bill"
shipment.volume,shipment,volume,Shipment Volume,Total shipment volume used for freight planning or execution.,decimal,"shipment volume, freight volume, cubic volume"
shipment.weight,shipment,weight,Shipment Weight,Total shipment weight used for freight planning or execution.,decimal,"shipment weight, freight weight, gross shipment weight"
shipping_point.id,shipping_point,id,Shipping Point,Organizational unit from which goods are shipped,string,"shipping point, shipping point id, loading point, vstel"
source_of_supply.id,source_of_supply,id,Source of Supply ID,"Identifier for the selected or eligible source of supply for a material, service, or demand.",string,"source of supply id, supply source id, vendor source id, quota source"
source_of_supply.type,source_of_supply,type,Source of Supply Type,"Type of supply source such as supplier, plant, contract, scheduling agreement, or internal production.",string,"source of supply type, supply source type, procurement source type"
sourcing_event.id,sourcing_event,id,Sourcing Event ID,"Identifier for a sourcing event such as RFP, auction, or tender.",string,"sourcing event id, rfp id, tender id, auction id"
sourcing_event.status,sourcing_event,status,Sourcing Event Status,Lifecycle status of a sourcing event.,string,"sourcing event status, tender status, rfp status"
sourcing_event.type,sourcing_event,type,Sourcing Event Type,"Type of sourcing event such as RFI, RFP, RFQ, tender, or auction.",string,"sourcing event type, event type, rfp type, sourcing method"
stock.quantity,stock,quantity,Stock Quantity,Available quantity in inventory,decimal,"stock quantity, inventory quantity, inventory qty, stock level, on hand, available stock, labst"
storage_location.id,storage_location,id,Storage Location,Inventory storage location within a plant.,string,"storage location id, storage location code, plant storage location, lgort"
subscription.end_date,subscription,end_date,Subscription End Date,Date when the subscription ends or expires.,date,"subscription end date, contract end date, service end date"
subscription.id,subscription,id,Subscription ID,Identifier for a recurring subscription agreement.,string,"subscription id, subscription number, recurring contract id"
subscription.start_date,subscription,start_date,Subscription Start Date,Date when the subscription begins.,date,"subscription start date, contract start date, service start date"
subscription.status,subscription,status,Subscription Status,Lifecycle status of a subscription.,string,"subscription status, contract status, recurring service status"
supplier.address,supplier,address,Supplier Address,Primary postal or physical address for a supplier master record.,string,"supplier address, vendor address, street, city, postal code, country, region, LFA1 address, ADRC address"
supplier.city,supplier,city,Supplier City,City component of a supplier address.,string,"supplier city, vendor city, LFA1 city, ADRC-CITY1, CITY1"
supplier.commercial_contact_email,supplier,commercial_contact_email,Supplier Commercial Contact Email,Email address for the commercial contact associated with a supplier.,string,"commercial contact, supplier email, vendor email, contact email, SMTP_ADDR, ADR6-SMTP_ADDR"
supplier.country_code,supplier,country_code,Supplier Country Code,Country code component of a supplier address.,string,"supplier country, vendor country, country code, ADRC-COUNTRY, COUNTRY"
supplier.duns_number,supplier,duns_number,Supplier DUNS Number,Dun & Bradstreet D-U-N-S identifier for a supplier or contract partner.,string,"duns, duns number, contract partner duns, supplier duns, LFA1-KRAUS, KRAUS"
supplier.facility_duns_number,supplier,facility_duns_number,Supplier Facility DUNS Number,Dun & Bradstreet D-U-N-S identifier for a supplier facility or site.,string,"facility duns, site duns, plant duns, location duns"
supplier.id,supplier,id,Supplier ID,"Stable identifier for a supplier, vendor, or contract partner master record.",string,"supplier id, supplier number, LFA1-LIFNR, LIFNR"
supplier.intercompany_code,supplier,intercompany_code,Supplier Intercompany Code,"Company, intercompany, or Hyperion code associated with a supplier relationship.",string,"intercompany code, hyperion code, company code, LFB1-BUKRS, BUKRS"
supplier.invoicing_contracting_address,supplier,invoicing_contracting_address,Supplier Invoicing/Contracting Address,"Address used for supplier invoicing, contracting, remittance, or legal correspondence.",string,"invoicing address, contracting address, remit-to address, legal address, supplier invoice address, LFA1 ADRC address"
supplier.manufacturing_address,supplier,manufacturing_address,Supplier Manufacturing Address,Address of the supplier manufacturing facility or production site.,string,"manufacturing address, supplier manufacturing address, production site address, facility address"
supplier.name,supplier,name,Supplier Name,"Legal, trading, or display name of a supplier or vendor.",string,"supplier name, vendor name, company name, dba, doing business as, LFA1-NAME1, NAME1"
supplier.payment_terms_id,supplier,payment_terms_id,Supplier Payment Terms ID,"Payment terms assigned to a supplier at purchasing, company, or transaction level.",string,"supplier payment terms, vendor payment terms, payment terms, LFM1-ZTERM, LFB1-ZTERM, EKKO-ZTERM, ZTERM"
supplier.postal_code,supplier,postal_code,Supplier Postal Code,Postal or ZIP code component of a supplier address.,string,"supplier postal code, vendor postal code, zip code, ADRC-POST_CODE1, POST_CODE1"
supplier.region_code,supplier,region_code,Supplier Region Code,"State, province, or region component of a supplier address.",string,"supplier region, vendor region, state, province, ADRC-REGION, REGION"
supplier.street,supplier,street,Supplier Street,Street component of a supplier address.,string,"supplier street, vendor street, street address, ADRC-STREET, STREET"
supplier.tax_registration_id,supplier,tax_registration_id,Supplier Tax Registration ID,"Tax, VAT, UID, or fiscal registration identifier assigned to a supplier.",string,"supplier tax id, supplier vat number, UID number, universal identification number, LFA1-STCEG, STCEG"
supplier.type,supplier,type,Supplier Type,"Classification of a supplier such as direct, indirect, intercompany, manufacturer, distributor, or service provider.",string,"supplier type, vendor type, direct supplier, indirect supplier, supplier category"
supplier_bank_account.account_number,supplier_bank_account,account_number,Supplier Bank Account Number,Supplier bank account number used for payments.,string,"account number, supplier account number, vendor bank account number, LFBK-BANKN, BANKN"
supplier_bank_account.address,supplier_bank_account,address,Supplier Bank Address,Postal or physical address of the supplier bank or bank branch.,string,"bank address, supplier bank address, bank street, bank city, bank postal code, BNKA-PROVZ, BNKA-STRAS, BNKA-ORT01"
supplier_bank_account.bank_name,supplier_bank_account,bank_name,Supplier Bank Name,Name of the bank used for supplier payments.,string,"bank name, supplier bank name, vendor bank name, BNKA-BANKA, BANKA"
supplier_bank_account.bank_phone,supplier_bank_account,bank_phone,Supplier Bank Phone,Phone number for the supplier bank or bank branch.,string,"bank phone, supplier bank phone, bank telephone"
supplier_bank_account.iban,supplier_bank_account,iban,Supplier Bank IBAN,International Bank Account Number for a supplier bank account.,string,"iban, supplier iban, vendor iban, TIBAN-IBAN, IBAN"
supplier_bank_account.swift_bic,supplier_bank_account,swift_bic,Supplier Bank SWIFT/BIC,SWIFT or BIC code for the supplier bank used in international payments.,string,"swift, bic, swift bic, bank swift, supplier bank bic, BNKA-SWIFT, SWIFT"
